brw_ord_no,pkg_amt,loan_amt,dep_prov_no,dep_city_no,pkg_typ,in_come,usr_job,schooling,marital_sta,gender,age,target
50620220928114038057238880,119,790,22,818,01,003,008,004,1,女,42,good
50620220907131756978988304,0,1200,22,818,01,004,006,004,1,女,51,good
50620220904142149966042420,0,950,22,830,01,002,007,004,1,女,36,good
50620220927170119055544444,199,1209,31,230,01,003,006,005,1,男,31,good
50620220928092204056940456,0,950,22,829,01,005,001,003,1,男,36,good
50620220903130919961354818,99,580,12,551,01,003,,006,1,男,41,bad
50620220902103050956848153,0,710,15,530,01,002,,006,1,男,24,good
50620220921182014038841062,90,770,22,826,01,004,,004,1,男,53,good
50620220904150824966219609,0,1200,22,836,01,007,006,003,1,男,39,good
50620220905133053968928941,119,2420,22,838,01,005,008,003,0,男,30,good
50620220913103254009098566,129,760,12,555,01,004,,006,1,男,54,good
50620220923110135044099570,0,950,22,830,01,003,021,005,1,男,38,good
50620220924134528047510969,99,580,17,717,01,002,008,006,1,男,43,good
50620220928114606057239033,0,710,15,538,01,003,012,003,0,女,25,good
50620220921131523038616726,0,1200,22,834,01,003,001,006,1,女,50,good
50620220912182503006655630,169,1014,31,230,01,004,007,005,1,男,49,good
50620220919164741032562082,199,950,27,938,01,004,003,003,1,女,43,good
50620220926162204053018660,169,1014,31,230,01,002,006,004,1,男,31,good
50620220924143856047540540,188,1092,09,210,01,007,009,003,1,男,38,good
50620220925132652050281469,0,950,22,830,01,003,003,004,1,女,48,good
50620220902143618957206231,158,1469,09,210,01,004,012,004,1,男,57,good
50620220915163029016468401,0,950,22,816,01,003,008,005,1,男,45,good
50620220904112238965219506,169,1639,31,230,01,003,006,006,1,男,50,good
50620220922100847041132132,79,1600,22,830,01,002,008,006,1,女,41,good
50620220901152454955167254,88,858,09,210,01,003,,003,1,男,40,good
50620220915085403014791968,99,2010,22,825,01,005,006,004,1,女,39,good
50620220902092930956374892,239,1430,18,731,01,003,003,006,1,男,44,good
50620220930141021061037795,64,1300,22,816,01,002,021,004,1,男,50,good
50620220901124446955106678,139,1200,22,829,01,003,010,004,1,女,32,good
